sales_commission_code,discount_amount,discount_id
C-SKZ43603,0.0,dis_8b6701c2-18fd-4b3b-9bee-777b936ede9c
v,0.0,dis_8db21d02-dbbd-472a-bd13-76ae95eb76de
C-PEW-33551,0.0,dis_254a835d-3511-4e22-97cb-226bf0227c73
3293,0.0,dis_9795d66e-bb3d-4675-8d64-8f86a421d05e
105114,0.0,dis_c9c117c2-41be-40a0-ba22-467d99538fd0
60615,0.0,dis_96054640-68b5-45f6-8041-d28acf9eac8c
101651,0.0,dis_562f46aa-1b4b-4d5d-ade4-71ba1c5b093b
C-ISB-102725,0.0,dis_ed8be39d-7cd3-477e-a7e8-1a11e39dfbc4
C-ISB-43887,0.0,dis_1cbc5d8b-c8c3-474e-aaa2-8c6ddcb4f2f6
R-LHW-103735,0.0,dis_52241892-def2-46e3-8243-cbc19bd6f9a2
\N,1.0,dis_ba4aac3d-096a-41c9-ad5f-5fff2504d9df
C-MUX-51991,0.0,dis_ccb418fd-34d6-4191-a675-3564bbf38174
R-PEW-104414,0.0,dis_a2ec26a5-3f60-4115-9632-a5332d189d94
C-FSD-104646,0.0,dis_5b905339-c993-42b6-b155-1066d66c0835
C-KHS-43436,0.0,dis_bee60fed-008a-4c49-8404-912983e30bf9
C-PEW-103055,0.0,dis_8a89f05e-44ec-46ab-923c-894e881b4820
 R-LHC-104412,0.0,dis_a5438c9b-af76-4598-9df4-3db5067be628
C-PEW-33745,0.0,dis_729f5d6a-bdc0-4251-a903-e2773f6057d6
80702,0.0,dis_dfcfefa0-cf9b-494f-ab98-ed078cb63255
RWP-R-50687,0.0,dis_da0155d5-1aea-4703-946c-7b15342196d7
102795,0.0,dis_0fe79243-10af-45d1-9edc-a89c309ada97
C-KHC-44247,0.0,dis_1962120a-fa57-47cf-b42e-62047bd142b4
C-MUX-43033,0.0,dis_8af41c03-21ec-4429-a9c5-9ff04c76cd9f
c-lhc-34292,0.0,dis_dfbb4e82-4821-498f-84bb-f3656623135f
R-skz104411,0.0,dis_01c05f77-d5a0-4476-a778-7571cae75903
c-lhc-57595,0.0,dis_258ebaf7-0985-47d6-95c6-0521e3562969
1151,0.0,dis_95f9a0b0-351f-48ea-90c6-4512d797d638
C-MUX-60389,0.0,dis_921dafc9-a902-4bea-ae97-494d6a482c32
C-MUX-60384,0.0,dis_13741e43-d3c5-48ac-88b3-acab59cc1e0b
123123,0.0,dis_bafccdf0-8fc5-4808-959d-b6a62f4d73a4
C-MUX-100374,0.0,dis_2d193a77-5f76-41d2-865b-9e1f9b27e1dc
C-MUX-60390,0.0,dis_32137c2f-62be-4ab1-88f1-e24f9966ac2a
1072,0.0,dis_5a7935f9-8229-425c-b902-d8fbc7b1652e
R-PEW-101268,0.0,dis_ef551f03-20f3-4803-97ce-cf254140f2e2
C-MUX-45345,0.0,dis_20baf6fc-99a9-4c97-ad43-a09866238615
1234,0.0,dis_f92a9823-362f-45f7-b376-24e24daaec68
3118078,0.0,dis_3126a061-8c29-4e79-9b7c-2b5bb9d08d97
r-hdd-70202,0.0,dis_d21f97b7-537f-43c1-aa14-89104cbf8410
80311,0.0,dis_d465f858-2080-439b-98b7-8a24a51b62d3
MBC,0.0,dis_d26f3d87-c753-41ca-8870-ea9fb4709b97
45254,0.0,dis_aab34686-0707-4f7f-be62-98ed7c9d296b
Aß,0.0,dis_70929f40-d7d4-4716-b880-2af8f3c0caf8
\N,141.66,dis_162c8be5-f199-494c-a149-65362c2c4cc2
\N,83.34,dis_befe9267-260b-43fb-900e-dddb95665b9e
\N,52.63,dis_636dc399-ba5f-458c-899a-93078089038b
\N,94.74,dis_ba1ef47d-5c6a-4813-b50a-357084f1f2b5
C-HDD-40844,0.0,dis_63eb0d34-a0b6-447b-9f08-3da78ca7df50
\N,242.86,dis_998964c2-2833-4ca8-93d5-c550eb17d8be
\N,57.14,dis_a7580971-3fbc-44d3-a743-e2e19a9e9755
\N,134.21,dis_e0b089ea-54b3-4978-9ac9-9731b82ebb1e
\N,165.79,dis_2ffdb604-55fd-4dd2-860b-e798e5b249df
\N,111.11,dis_6633a166-8e7b-410c-bb44-e38c232917d4
\N,88.89,dis_8f8b2036-0ca5-4e85-a674-8f35dea68d0c
\N,500.0,dis_ffa71a81-424a-4264-a02a-0bdca05970d4
C-PEW-34717,0.0,dis_7b82f49f-850c-4559-bea9-101865179d0d
C-UET-44938,0.0,dis_f56cb10c-f1e6-44b3-8bef-cfaa59085622
\N,53.73,dis_dcd702a7-680e-48bf-a12a-f71f8ad83acb
\N,52.24,dis_d639d849-7395-41fa-895d-1570e6c5bdce
\N,94.03,dis_d0318ccf-bd1a-4829-b68d-e500e7ab1a9c
100572,0.0,dis_3331a088-aa4c-4e24-87b3-35f2a942fdca
R103018,0.0,dis_83487d21-23fa-4c07-95cf-8332673ce92a
R-KHS-104404,0.0,dis_13b19ae7-5632-4ada-95e6-0df2f36a931d
R52346,0.0,dis_9332bc0f-7e9c-41d5-98a8-f6de3ab9a975
C-MUX-60385,0.0,dis_b76d4226-2502-4cd5-9df1-9703d40f7d06
C-MUX-100111,0.0,dis_7fe8f7e7-8e70-4440-ac9a-38bf038a15c9
C-MUX-45342,0.0,dis_cd43bcca-c8d7-4aad-9ad6-59880feece16
C-MUX-45338,0.0,dis_087d6d1f-7a6a-468e-8621-ad1e63f0a451
C-MUX-47458,0.0,dis_c73c0ed5-a149-4f1c-ab23-f74bbe28cc75
C-MUX-104107,0.0,dis_e9189a9e-725b-4e24-88b1-12504fa53b0b
C-MUX-102808,0.0,dis_c6a187ed-a283-43b5-a1f8-2e5d27cc7e0b
C-KHC-44287,0.0,dis_77d3cf30-a724-4ea0-83b5-db05be1d694c
R-LHW-104415,0.0,dis_eb2a5980-e880-49d7-824d-9a875fe48118
R-GUJ-105814,0.0,dis_695b8298-faec-44a8-a9e7-8a04c7b014db
 R-MUX-90516,0.0,dis_09aebe47-f5af-4510-9a0b-979eae09c041
321,0.0,dis_2da2a26a-8855-46b6-85b1-2f1eff4f1ff3
90649,0.0,dis_24e06a7c-e241-4075-b2c1-ba9547162c08
101531,0.0,dis_93d604f5-a801-4735-b38c-88cdc565eaca
45239,200.0,dis_cd59f54a-82be-4dfe-8174-9cfd233bebef
C-ISB-34710,0.0,dis_18943814-9c26-4ac8-8a12-5ceb7c11f802
R-FSD-52352,200.0,dis_1178f1fc-9248-4de0-ae12-6684fe233fb4
42345,300.0,dis_59bb71e6-fdd0-4884-b564-34ca07bc6e64
42345,200.0,dis_0f95e186-3618-41e5-9f31-10ea48d70f11
42345,133.33,dis_6907bbe7-1d27-4a93-a409-a86820125c3f
42345,66.67,dis_83539967-0b18-4dd1-8d52-13a4e00a0fae
\N,125.31,dis_998ace79-15f1-4c7f-a092-8164f28a6a83
\N,74.69,dis_44adfdb8-b59d-4d96-b379-c98874e3300b
\N,195.0,dis_b282c129-c794-4b38-ac85-549dae80f8ff
